,,income,income,expenses,expenses,intangibles,intangibles,fixed_assets,fixed_assets,noncurrent_assets,noncurrent_assets,inventory,inventory,net_assets,net_assets,receivables,receivables,current_assets,current_assets,assets,assets,lt_debt,lt_debt,st_debt,st_debt,passive,passive,nwc,nwc,equity,equity,total_debt,total_debt,sales,sales,cgs,cgs,commercial,commercial,admin_expenses,admin_expenses,interest_paid,interest_paid,ebt,ebt,eat,eat,ebit,ebit,labor_costs,labor_costs,interest_payment,interest_payment,interest_coverage,interest_coverage,net_profit_margin,net_profit_margin,ros,ros
,,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var,mean,var
size_cat,industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Малые предприятия,Аренда и управление собственным или арендованным недвижимым имуществом,453401.4210526316,56424973996.30441,364276.0,26902570702.000004,1679.6666666666667,18062619.81609195,1206621.7758620689,974672982662.6329,1367897.5344827587,1191239569694.3933,13647.849056603774,257745054.78447014,1091101.6206896552,1676089746663.679,90782.53448275862,11815756622.147913,297572.8448275862,171044493044.55438,1665470.4137931035,1982873104765.5786,429456.4222222222,224560866004.02225,69615.0,44286962580.649994,1665470.4137931035,1982873104765.5786,5529.568965517241,97752209421.19693,1091101.7068965517,1676089565827.0876,579856.6206896552,303294756271.4326,367763.2413793103,43156298523.80036,226135.80357142858,17462786278.88799,919.3157894736842,612743.5614035088,80500.38461538461,3391621348.7119155,30193.62962962963,1495621079.0677845,81570.91379310345,10184356517.939806,67089.4827586207,7683011017.37689,86099.36206896552,8208753251.3929205,107256.94117647059,9967159852.176472,29764.93181818182,1621273586.390592,17.05565925925926,2869.1639366228374,0.10222586206896551,0.07243951177555957,0.1200448275862069,0.14039523865698728
Малые предприятия,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,476873.9,57392863337.886215,426248.0333333333,41135304691.13677,859.40625,1237017.28125,765165.6739130435,1109964692893.558,1166462.956521739,1313656432124.3975,16868.372093023256,553653857.9058694,1171600.456521739,1496147653921.0088,176819.95652173914,31741534743.331413,430467.67391304346,179973855506.00247,1596930.608695652,1791592550773.3545,366589.3333333333,200436576844.82352,162872.55555555556,26210780704.25641,1596930.608695652,1791592550773.3545,64815.913043478264,78942527460.97005,1171600.4347826086,1496147670496.518,425448.347826087,174222893271.74298,380847.95652173914,29475480148.842514,248529.3777777778,17291968944.967667,3314.818181818182,43727173.56363637,112552.06060606061,7818413188.496211,25073.40740740741,601038073.7891738,69535.34782608696,14093316983.565216,61888.95652173913,11908803714.664734,39118.086956521736,3006363605.370048,67252.4,1015572939.2205132,16351.4,597416562.8842105,46.2839,10466.048908926155,0.15830434782608696,0.07685607153623188,0.1623086956521739,0.03499771414492752
Малые предприятия,"Аренда интеллектуальной собственности и подобной продукции, кроме авторских прав",302702.4166666667,56304618090.08334,217572.41666666666,34983393211.17425,2232.5384615384614,4092119.7692307695,7781.7692307692305,19865648.525641024,257761.61538461538,64352812541.92309,646.8181818181819,980202.3636363636,424209.71428571426,162367442477.75824,206771.64285714287,43115623918.24726,217865.0,40626126572.76923,457215.14285714284,173475590350.4395,5625.0,25367857.14285714,58002.5,11692513045.666664,457215.14285714284,173475590350.4395,199124.07692307694,40362478266.57693,424209.9285714286,162367251809.6099,33862.692307692305,5266500519.564102,302629.3846153846,30617741434.256405,3229.1111111111113,16855186.361111112,5819.444444444444,111020198.27777778,197276.92307692306,21458260226.91026,209.41666666666666,49771.53787878789,116184.21428571429,15152575859.258242,99373.28571428571,11296409309.912086,73892.15384615384,6944614429.307693,246246.2,10217831428.7,8.0,,4489.514972727273,40948220.115488656,0.25847692307692305,0.224330956923077,0.21863846153846156,0.3235404358974359
Малые предприятия,"Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур",146348.42857142858,4938353188.619047,123586.85714285714,3745056212.809524,,,57893.63636363636,4043825062.654546,68641.18181818182,3968799036.7636366,59589.72727272727,1829159796.0181816,99331.18181818182,5159456571.563637,14403.181818181818,69611576.56363635,85262.72727272728,3668622127.2181826,153903.9090909091,14167473368.290909,17015.1,215114909.21111113,2371.375,15636863.69642857,153903.9090909091,14167473368.290909,52534.0,1237379945.4,99331.18181818182,5159456571.563637,54572.72727272727,2344665280.018182,102213.54545454546,5342959282.472727,82915.54545454546,4010455526.4727273,39.0,,1074.0,,2042.1,1230751.211111111,18459.272727272728,190116591.01818183,17931.090909090908,181532482.2909091,20052.636363636364,198254163.25454548,84.0,,,,11.63658,55.95558301288889,0.20474545454545454,0.023265822727272727,0.21342727272727274,0.023594586181818183
Малые предприятия,Выращивание зерновых культур,504472.5714285714,18711221266.285717,435108.71428571426,13938230207.90476,,,528841.1818181818,110227589311.16362,639891.4545454546,138163316211.87274,200120.63636363635,8412532680.254541,365526.1818181818,38768185901.96364,75744.81818181818,3903407893.963636,360786.0,25989573783.000004,1000677.4545454546,251733339459.8727,317240.7272727273,22366380540.418186,174664.81818181818,6722843624.963636,1000677.4545454546,251733339459.8727,183660.36363636365,13763405659.054546,365526.1818181818,38768185901.96364,635239.0909090909,96779152612.49092,368616.0,27331861258.4,275231.7272727273,14784511306.218182,,,,,37705.0,178339538.20000005,54731.72727272727,1704984016.8181818,50468.454545454544,1653122922.2727273,92341.18181818182,2325721564.563637,69186.5,791338598.8571428,43752.625,122190723.12500001,2.4392090909090913,0.9921640909090914,0.1264909090909091,0.006448892909090907,0.2336,0.013970723999999999
Малые предприятия,Деятельность автомобильного грузового транспорта,382380.53658536583,81279038558.1049,372606.2195121951,81669110754.77557,69.71428571428571,7973.904761904761,119447.90243902439,16635253174.940243,121444.97674418605,21645806664.83277,22736.877551020407,1710246318.2346947,35634.56603773585,1575047922.1734405,78193.55102040817,11403470679.419218,110912.27450980392,14644459339.323135,205257.75471698114,41808762195.61177,54958.35294117647,5668265678.841354,28875.178571428572,1419704102.6706347,205257.75471698114,41808762195.61177,38231.5,3534008978.0588236,35634.54716981132,1575053442.7140784,173034.86538461538,35551288176.785446,323482.3137254902,74986023272.4596,295771.74,59723237858.84938,61713.333333333336,5431696912.424243,20616.42105263158,311650048.4795321,5327.8378378378375,32584620.250750747,9637.196078431372,302679359.4807843,7890.607843137255,231253001.0831372,12248.576923076924,342943339.97435904,43051.7037037037,2052572236.6780622,5135.0,35394967.52380953,15.289851351351352,1805.436482741456,0.04700196078431373,0.005455920996078432,0.06780980392156863,0.018925000501960786
Малые предприятия,"Деятельность агентов по оптовой торговле вычислительной техникой, телекоммуникационным оборудованием и прочим офисным оборудованием",502693.85714285716,17912604545.80952,491391.14285714284,17037300818.809525,31.0,284.8888888888889,9692.09090909091,57194838.090909086,9721.545454545454,57337762.872727275,33606.72727272727,620064861.0181818,31119.090909090908,522593931.6909091,147241.9090909091,3420128238.0909095,212194.81818181818,5829066711.963635,221916.36363636365,6234377828.654544,,,9639.636363636364,226031753.85454544,221916.36363636365,6234377828.654544,21384.727272727272,538343708.8181818,31119.0,522601513.1999999,190797.27272727274,4945737199.618181,430107.45454545453,17048985682.072727,366384.1818181818,15851386264.563635,52787.0,55250144.40000001,1115.0,649071.5555555556,580.125,406562.41071428574,8239.818181818182,46578045.763636366,5255.454545454545,30931667.072727274,8655.181818181818,50491453.16363637,,,,,887.6599125,3810781.794100232,0.011827272727272726,9.92801818181818e-05,0.0224,0.000358048
Малые предприятия,"Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями",869669.4285714285,147947105422.28574,803526.2857142857,107901717932.2381,156.0,591.6,1954.9,1653129.2111111113,2072.7,1793455.5666666667,115651.0,14017833779.600002,1360720.8181818181,2548026931009.9634,2980369.1818181816,2679287235326.1636,3392715.6363636362,3089659447963.0547,3394600.090909091,3092555230086.8906,155525.7142857143,5313714585.904762,672623.2222222222,843493110852.1946,3394600.090909091,3092555230086.8906,1741441.4545454546,2578952428461.8726,1360721.0,2548027125624.5996,2033879.2727272727,805308115821.2183,804346.0909090909,122485429078.29092,640225.1818181818,114236048269.76364,95341.18181818182,1865470357.163636,,,17819.11111111111,540222218.111111,53648.818181818184,4962195030.363638,52766.545454545456,4902710447.672727,49049.27272727273,4727906154.818182,15851.9,122143174.98888892,9216.0,,5.183800000000001,508.25542070250003,0.05485454545454546,0.004453662727272728,0.08871818181818182,0.009127649636363635
