Показатель,Min (мал.),Max (мал.),Mean (мал.) (std),Min (сред.),Max (сред.),Mean (сред.) (std),Значимость
sales,50378.0,1561000.0,344174.23 (246182.25),203566.0,2705727.0,1115693.98 (448667.97),***
assets,16149.0,4009741.0,396224.95 (603771.32),101457.0,12751979.0,1049200.57 (1601897.29),***
receivables,4962.0,1092714.0,107707.05 (140206.37),7231.0,5181343.0,302615.31 (430553.55),***
employees,2.0,100.0,40.7 (25.76),4.0,247.0,95.92 (63.03),***
cgs,106.0,1306010.0,253968.39 (203328.99),8.0,2703408.0,855863.04 (432253.63),***
inventory,1.0,755958.0,62659.75 (85295.86),70.0,1905046.0,173400.3 (209759.23),***
ebt,-305079.0,492651.0,24174.44 (63129.42),-848045.0,1150934.0,85864.55 (140939.94),***
