Компания,Город,name,region.y,industry,size_cat,year,code_okved,firts_number_okved,ind,employees,income,expenses,receivables,assets,passive,nwc,equity,total_debt,sales,cgs,commercial,ebt,eat,ebit,labor_costs,net_profit_margin,ros
Восточный берег,Петропавловск-Камчатский,"ВОСТОЧНЫЙ БЕРЕГ, ООО",Камчатский край,Рыболовство морское,Средние предприятия,2013,03.11,3.0,selskoe_hozyaystvo,160.0,2296206.0,1526671.0,487447.0,3279540.0,3279540.0,1136994.0,2952283.0,327258.0,1795172.0,770280.0,192341.0,675650.0,631416.0,660325.0,499620.0,0.0,0.0
Газ и Нефть,Москва,"КОМПАНИЯ ГАЗ И НЕФТЬ, ООО",Москва,Добыча природного газа и газового конденсата,Малые предприятия,2013,06.2,6.0,gazovaya_promyshlennost,3.0,3480645.0,4115746.0,5405891.0,17370789.0,17370789.0,-65644.0,1436972.0,15933818.0,2630812.0,1893256.0,,-247813.0,-252916.0,149269.0,31595.0,-0.0,0.0
Газкомплект Северо-Запад,Санкт-Петербург,"ГАЗКОМПЛЕКТ СЕВЕРО-ЗАПАД, ООО",Санкт-Петербург,Торговля оптовая неспециализированная,Малые предприятия,2017,46.9,46.0,torgovlya,11.0,1009733.0,994254.0,138163.0,159085.0,159085.0,92640.0,21833.0,137252.0,1007406.0,939445.0,43072.0,15479.0,11900.0,23169.0,17224.0,0.0,0.0
Газпром газораспределение Нальчик,Нальчик,"ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ НАЛЬЧИК, АО",Кабардино-Балкарская Республика,Распределение газообразного топлива по газораспределительным сетям,Средние предприятия,2019,35.22,35.0,gazovaya_promyshlennost,,1285573.0,1357296.0,299951.0,1775882.0,1775882.0,-1419437.0,-587860.0,2363742.0,1205442.0,987785.0,,-71723.0,-112882.0,-75551.0,825827.0,-0.0,-0.0
Газпром межрегионгаз инжиниринг,Санкт-Петербург,"ГАЗПРОМ МЕЖРЕГИОНГАЗ ИНЖИНИРИНГ, ООО",Санкт-Петербург,Разработка компьютерного программного обеспечения,Средние предприятия,2018,62.01,62.0,informacionnye_tehnologii,228.0,1308472.0,1216561.0,200847.0,763277.0,763277.0,40253.0,100975.0,662502.0,1260019.0,922341.0,,91911.0,68743.0,80578.0,526520.0,0.0,0.0
Гарда Технологии,Нижний Новгород,"ГАРДА ТЕХНОЛОГИИ, ООО",Нижегородская область,Разработка компьютерного программного обеспечения,Средние предприятия,2017,62.01,62.0,informacionnaya_bezopasnost,135.0,714354.0,492130.0,173610.0,632870.0,632870.0,249325.0,336629.0,296241.0,700576.0,294064.0,119516.0,222224.0,215750.0,212444.0,374798.0,0.0,0.0
Геберит Рус (Geberit),Москва,"ГЕБЕРИТ РУС, ООО",Москва,Торговля оптовая санитарно-техническим оборудованием,Средние предприятия,2017,46.73.3,46.0,torgovlya,63.0,1975873.0,1841234.0,186461.0,779107.0,779107.0,563082.0,603864.0,175243.0,1934873.0,1368202.0,451432.0,134640.0,99612.0,107641.0,165388.0,0.0,0.0
Генэк,Санкт-Петербург,"ГЕНЭК, ООО",Санкт-Петербург,Строительство коммунальных объектов для обеспечения электроэнергией и телекоммуникациями,Малые предприятия,2017,42.22,42.0,energetika,13.0,199000.0,190969.0,74460.0,117071.0,117071.0,34848.0,11549.0,105523.0,196541.0,142787.0,,7459.0,4676.0,9000.0,7952.0,0.0,0.0
ГеоТех Инновэйшн,Москва,"ГЕОТЕХ ИННОВЭЙШН, ООО",Москва,Деятельность головных офисов,Средние предприятия,2019,70.1,70.0,dobycha_poleznyh_iskopaemyh,188.0,866456.0,924156.0,222878.0,409114.0,409114.0,96749.0,-13334.0,422448.0,849508.0,811935.0,,-57700.0,-50456.0,-49274.0,628083.0,-0.0,-0.0
Гидротех,Москва,"ГИДРОТЕХ, ООО",Москва,"Производство газогенераторов, аппаратов для дистилляции и фильтрования",Малые предприятия,2019,28.29.1,28.0,legkaya_promyshlennost,63.0,578393.0,436963.0,162308.0,347228.0,347228.0,221280.0,254593.0,92659.0,556244.0,378253.0,11334.0,141430.0,113016.0,138581.0,77765.0,0.0,0.0
"Гимназия № 1, Балашиха",Балашиха,"ГИМНАЗИЯ, ООО",Московская область,"Торговля розничная мужской, женской и детской одеждой в специализированных магазинах",Малые предприятия,2017,47.71.1,47.0,obrazovanie,32.0,91565.0,88580.0,4962.0,29204.0,29204.0,19788.0,-334.0,29538.0,91283.0,46716.0,37850.0,2985.0,1977.0,4531.0,19720.0,0.0,0.0
Гипрогор,Москва,"ГИПРОГОР, АО",Москва,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",Малые предприятия,2014,71.11.1,71.0,obrazovanie,76.0,183695.0,182825.0,86530.0,215058.0,215058.0,113105.0,43972.0,171086.0,213650.0,150173.0,,2352.0,1533.0,6238.0,84145.0,0.0,0.0
ГлавФудГрупп,Москва,"ГЛАВФУДГРУПП, ООО",Москва,Деятельность ресторанов и услуги по доставке продуктов питания,Малые предприятия,2014,56.1,56.0,turizm,75.0,424649.0,397509.0,15244.0,66946.0,66946.0,-4506.0,-11806.0,78751.0,370073.0,132886.0,216161.0,22731.0,19758.0,20108.0,,0.0,0.0
ГолденМит,Москва,"ГОЛДЕНМИТ, ООО",Москва,Торговля оптовая за вознаграждение или на договорной основе,Малые предприятия,2014,46.1,46.0,pishhevaya_promyshlennost,5.0,469658.0,466434.0,65308.0,99534.0,99534.0,56854.0,23875.0,75658.0,479330.0,458810.0,11730.0,3011.0,2368.0,7245.0,4261.0,0.0,0.0
ГорИнжСтрой,Москва,"ГОРИНЖСТРОЙ, ООО",Москва,Строительство автомобильных дорог и автомагистралей,Средние предприятия,2016,42.11,42.0,stroitelstvo,151.0,1636152.0,1491027.0,672070.0,1093272.0,1093272.0,186686.0,255734.0,837538.0,1377628.0,1135085.0,,141455.0,107783.0,147716.0,119241.0,0.0,0.0
Горстройзаказчик,Вологда,"ГОРСТРОЙЗАКАЗЧИК, ЗАО",Вологодская область,"Деятельность заказчика-застройщика, генерального подрядчика",Средние предприятия,2013,71.12.2,71.0,stroitelstvo,35.0,786220.0,756162.0,473981.0,2520119.0,2520119.0,524863.0,728907.0,1791212.0,573221.0,473392.0,2619.0,23469.0,17360.0,19900.0,34991.0,0.0,0.0
Гофромир,Москва,"ГОФРОМИР, ООО",Москва,Производство изделий из бумаги и картона,Средние предприятия,2018,17.2,17.0,legkaya_promyshlennost,143.0,1578544.0,1465745.0,77277.0,264133.0,264133.0,79902.0,131798.0,133250.0,1551490.0,1337803.0,49637.0,112800.0,85140.0,111999.0,76868.0,0.0,0.0
ГранитИнвест,Екатеринбург,"ГРАНИТИНВЕСТ, ООО ГК",Свердловская область,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",Малые предприятия,2017,46.73,46.0,stroitelstvo,17.0,1039368.0,910482.0,532974.0,659795.0,659795.0,495531.0,524228.0,135567.0,1015708.0,721198.0,167271.0,128100.0,95944.0,129809.0,16234.0,0.0,0.0
ГринТриз (GreenTrees),Москва,"ГРИНТРИЗ, ООО",Москва,"Производство прочих изделий, не включенных в другие группировки",Малые предприятия,2018,32.99.9,32.0,tovary_narodnogo_potrebleniya,78.0,389926.0,319290.0,132646.0,296683.0,296683.0,166718.0,170262.0,127964.0,325126.0,207779.0,20857.0,70636.0,56523.0,71629.0,38209.0,0.0,0.0
Гротто,Петропавловск-Камчатский,"ГРОТТО, ООО",Камчатский край,Торговля оптовая неспециализированная,Малые предприятия,2016,46.9,46.0,torgovlya,23.0,403393.0,360388.0,68989.0,238823.0,238823.0,179070.0,124369.0,114454.0,377051.0,254128.0,74866.0,40446.0,32255.0,46167.0,20405.0,0.0,0.0
Грубер Лоджистикс (Gruber Logistics),Санкт-Петербург,"ГРУБЕР ЛОДЖИСТИКС, ООО",Санкт-Петербург,"Деятельность вспомогательная прочая, связанная с перевозками",Малые предприятия,2016,52.29,52.0,logistika,6.0,136779.0,137317.0,13096.0,25063.0,25063.0,5219.0,-2506.0,27568.0,97398.0,86201.0,137.0,-915.0,-506.0,-557.0,8719.0,-0.0,-0.0
Грузвинпром,Москва,"ГРУЗВИНПРОМ, ООО",Москва,Торговля оптовая напитками,Малые предприятия,2017,46.34,46.0,torgovlya,35.0,550007.0,547239.0,202244.0,439362.0,439362.0,80737.0,23394.0,415968.0,283556.0,219909.0,67906.0,2768.0,8280.0,9285.0,42418.0,-0.0,-1.0
Группа Борлас (Borlas),Москва,"ГРУППА БОРЛАС, ООО",Москва,Деятельность консультативная и работы в области компьютерных технологий,Средние предприятия,2013,62.02,62.0,informacionnye_tehnologii,18.0,2276638.0,2217905.0,1069805.0,1596050.0,1596050.0,113112.0,186329.0,1409722.0,2116265.0,1958862.0,2105.0,47606.0,42595.0,60392.0,57882.0,0.0,0.0
Группа Смиком,Москва,"ГРУППА СМИКОМ, ООО",Москва,Деятельность агентов по оптовой торговле строительными материалами,Малые предприятия,2015,46.13.2,46.0,stroitelstvo,55.0,793641.0,669884.0,455537.0,1268478.0,1268478.0,204720.0,496178.0,772300.0,636665.0,267848.0,750.0,109519.0,86741.0,83354.0,321156.0,0.0,0.0
Группа Т-1 (Телематика-Один),Москва,"ГРУППА Т-1, АО",Москва,Научные исследования и разработки в области естественных и технических наук прочие,Малые предприятия,2017,72.19,72.0,informacionnye_tehnologii,59.0,342482.0,391402.0,107448.0,641713.0,641713.0,162316.0,275258.0,372975.0,152322.0,71917.0,,-48920.0,-50156.0,-55247.0,128134.0,-1.0,-1.0
"Группа компаний «МАЙ» (ранее Май ЦКТ, Май Центр компьютерных технологий)",Нижний Новгород,"МАЙ, АО ГК",Нижегородская область,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Малые предприятия,2017,46.51,46.0,informacionnye_tehnologii,16.0,134614.0,128742.0,28257.0,49543.0,49543.0,14774.0,17928.0,31615.0,132345.0,112104.0,9748.0,5872.0,4689.0,5650.0,11371.0,0.0,0.0
"Гуд Принт, типография",Екатеринбург,"ГУД ПРИНТ, ООО ТИПОГРАФИЯ",Свердловская область,Деятельность полиграфическая и предоставление услуг в этой области,Малые предприятия,2017,18.1,18.0,poligraficheskaya_deyatelnost,25.0,92277.0,83090.0,13017.0,69168.0,69168.0,17112.0,36183.0,32985.0,89052.0,77682.0,,9187.0,8207.0,10857.0,,0.0,0.0
ДВ Скан,Хабаровск,"ДВ СКАН, ООО",Хабаровский край,Торговля оптовая прочими автотранспортными средствами,Средние предприятия,2013,45.19.1,45.0,torgovlya,63.0,1513400.0,1431139.0,78586.0,430718.0,430718.0,177219.0,238194.0,192523.0,1205229.0,1006036.0,129694.0,63166.0,52816.0,67588.0,27062.0,0.0,0.0
Дальпромрыба,Домодедово,"ДАЛЬПРОМРЫБА, ООО",Московская область,"Переработка и консервирование рыбы, ракообразных и моллюсков",Средние предприятия,2017,10.2,10.0,pishhevaya_promyshlennost,212.0,1713580.0,1696566.0,354182.0,917716.0,917716.0,440305.0,186078.0,731732.0,1057981.0,851498.0,121092.0,17013.0,31793.0,91592.0,277340.0,0.0,-0.0
Данвита,Москва,"ДАНВИТА, АО",Москва,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Средние предприятия,2014,68.20.2,68.0,stroitelstvo,34.0,1246674.0,788248.0,109649.0,1509519.0,1509519.0,298592.0,1059232.0,450287.0,983961.0,461302.0,,424631.0,338760.0,428635.0,47695.0,0.0,0.0
Дата-Центр Автоматика,Екатеринбург,"ДАТА-ЦЕНТР АВТОМАТИКА, ООО",Свердловская область,Разработка компьютерного программного обеспечения,Малые предприятия,2013,62.01,62.0,informacionnye_tehnologii,32.0,94244.0,97681.0,27819.0,68986.0,68986.0,23030.0,-17176.0,87263.0,94765.0,73584.0,,-860.0,-1582.0,1979.0,34314.0,-0.0,-0.0
Девелопмент-Юг,Краснодар,"ДЕВЕЛОПМЕНТ-ЮГ, ООО СИК",Краснодарский край,Строительство жилых и нежилых зданий,Малые предприятия,2013,41.2,41.0,stroitelstvo,95.0,1454451.0,1001778.0,2090218.0,8371796.0,8371796.0,1251466.0,6112743.0,5969972.0,697902.0,194508.0,31687.0,415269.0,314037.0,325254.0,127075.0,1.0,-0.0
Девятый трест-комфорт,Ижевск,"ДЕВЯТЫЙ ТРЕСТ-КОМФОРТ, ООО",Удмуртская Республика,"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ",Средние предприятия,2013,43.2,43.0,torgovlya,34.0,877260.0,868801.0,203772.0,431083.0,431083.0,17772.0,36654.0,394429.0,771890.0,713122.0,,7541.0,6065.0,10889.0,23302.0,0.0,0.0
Дейвон Спринг энд Сит,Ижевск,"ДЕЙВОН СПРИНГ ЭНД СИТ, ООО",Удмуртская Республика,Производство прочих комплектующих и принадлежностей для автотранспортных средств,Малые предприятия,2016,29.32,29.0,mashinostroenie,74.0,2735785.0,2746314.0,573322.0,1225693.0,1225693.0,60653.0,133492.0,1092201.0,2506044.0,2455466.0,,-25762.0,-23102.0,-10432.0,74025.0,-0.0,-0.0
Делетрон (Deletron),Москва,"ДЕЛЕТРОН, ООО",Москва,Деятельность систем обеспечения безопасности,Малые предприятия,2019,80.2,80.0,informacionnye_tehnologii,100.0,294371.0,324473.0,68594.0,141917.0,141917.0,73120.0,-59366.0,201283.0,286964.0,251939.0,11266.0,-30102.0,-24525.0,-29582.0,142142.0,-1.0,-1.0
Деликатный переезд,Москва,"ДЕЛИКАТНЫЙ ПЕРЕЕЗД, ООО",Москва,"Деятельность вспомогательная прочая, связанная с перевозками",Малые предприятия,2013,52.29,52.0,zhkh,65.0,203685.0,186692.0,19130.0,40410.0,40410.0,14253.0,21122.0,19288.0,174520.0,122446.0,18449.0,14708.0,11439.0,14505.0,33131.0,0.0,0.0
Деловая среда,Москва,"ДЕЛОВАЯ СРЕДА, АО",Москва,"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",Средние предприятия,2017,63.1,63.0,internet_servisy,119.0,1092920.0,1067269.0,109265.0,749032.0,749032.0,139209.0,583947.0,215640.0,938396.0,618885.0,387423.0,25650.0,20390.0,15563.0,398866.0,0.0,-0.0
Деловой профиль,Москва,"ДЕЛОВОЙ ПРОФИЛЬ, АО АК",Москва,Деятельность по проведению финансового аудита,Малые предприятия,2017,69.20.1,69.0,konsalting,35.0,166957.0,158812.0,58698.0,81289.0,81289.0,9887.0,16349.0,64939.0,152833.0,55757.0,3346.0,8145.0,4524.0,7964.0,29024.0,0.0,0.0
Дельта Сервис (Находка),Находка,"ДЕЛЬТА-СЕРВИС, ООО",Приморский край,Деятельность по складированию и хранению,Средние предприятия,2019,52.1,52.0,zhkh,73.0,565381.0,642619.0,213636.0,1017401.0,1017401.0,252834.0,196265.0,821137.0,479891.0,414938.0,49560.0,-72863.0,-60048.0,-65388.0,124925.0,-0.0,-0.0
Денеб,Махачкала,"ДЕНЕБ, ОАО",Дагестан (Республика),"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод",Средние предприятия,2013,11.07.2,11.0,pishhevaya_promyshlennost,247.0,1607692.0,1493278.0,702392.0,1738105.0,1738105.0,1143065.0,1567923.0,170182.0,1280018.0,1104425.0,14245.0,118686.0,88796.0,123695.0,90002.0,0.0,0.0
Дестек,Подольск,"ДЕСТЕК, ООО",Московская область,"Производство пластмассовых плит, полос, труб и профилей",Средние предприятия,2017,22.21,22.0,himicheskaya_promyshlennost,33.0,1810677.0,1374099.0,153091.0,533959.0,533959.0,442858.0,468393.0,65566.0,1712942.0,1198998.0,24668.0,436577.0,348635.0,434183.0,68035.0,0.0,0.0
ДиаЛаб Плюс,Москва,"ДИАЛАБ ПЛЮС, ООО",Москва,"Деятельность в области медицины прочая, не включенная в другие группировки",Средние предприятия,2017,86.90.9,86.0,farmacevtika,73.0,1439708.0,1090265.0,248061.0,543612.0,543612.0,230251.0,306735.0,236877.0,1332682.0,897383.0,,349443.0,349443.0,346695.0,54328.0,0.0,0.0
Диал,Нижний Новгород,"ДИАЛ, ООО",Нижегородская область,Производство прочих основных органических химических веществ,Средние предприятия,2017,20.14,20.0,himicheskaya_promyshlennost,25.0,595121.0,562614.0,57197.0,126916.0,126916.0,47697.0,83704.0,43212.0,568256.0,407531.0,117630.0,32573.0,26600.0,32508.0,42736.0,0.0,0.0
Диас-К,Москва,"ДИАС-К, ООО",Москва,Деятельность в области защиты информации и обеспечения безопасности критической информационной инфраструктуры,Малые предприятия,2015,74.90.9,74.0,torgovlya,29.0,593922.0,586355.0,17022.0,61649.0,61649.0,30352.0,15068.0,46581.0,564166.0,540278.0,4813.0,6859.0,5480.0,8095.0,9224.0,0.0,0.0
"Диета-18, Сеть продуктовых магазинов",Санкт-Петербург,"ДИЕТА-18, АО",Санкт-Петербург,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Малые предприятия,2017,68.20.2,68.0,torgovlya,65.0,336702.0,292598.0,152954.0,2302353.0,2302353.0,-116831.0,1658434.0,643919.0,300106.0,240935.0,,44104.0,37665.0,40844.0,28793.0,0.0,0.0
Дипо,Тольятти,"ДИПО, ООО",Самарская область,"Производство частей и принадлежностей для автотранспортных средств, не включенных в другие группировки",Средние предприятия,2013,29.32.3,29.0,mashinostroenie,152.0,3461477.0,3034714.0,484435.0,1678370.0,1678370.0,706202.0,1085355.0,593015.0,2665602.0,2228461.0,4547.0,269292.0,211565.0,268273.0,166230.0,0.0,0.0
Дисплей Балтика,Санкт-Петербург,"ДИСПЛЕЙ БАЛТИКА, ООО",Санкт-Петербург,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Малые предприятия,2017,46.51,46.0,informacionnye_tehnologii,31.0,491444.0,474436.0,58134.0,125170.0,125170.0,31878.0,33886.0,91284.0,586945.0,511628.0,60508.0,18067.0,13525.0,18528.0,35615.0,0.0,0.0
Добрый картон,Уфа,"ДОБРЫЙ КАРТОН, ООО",Башкортостан (Республика),"Производство гофрированной бумаги и картона, бумажной и картонной тары",Средние предприятия,2017,17.21,17.0,legkaya_promyshlennost,56.0,507403.0,470413.0,111033.0,397266.0,397266.0,53735.0,141492.0,255773.0,917390.0,729896.0,86682.0,79700.0,68759.0,81546.0,47688.0,0.0,0.0
Дон-Моторс плюс,Ростов-на-Дону,"ДОН-МОТОРС ПЛЮС, ООО",Ростовская область,Торговля автотранспортными средствами,Малые предприятия,2013,45.1,45.0,torgovlya,57.0,557842.0,587656.0,114979.0,554328.0,554328.0,228525.0,220984.0,333344.0,553686.0,495614.0,82400.0,-25586.0,-26387.0,-5481.0,19726.0,-0.0,-0.0
Доставка,Воронеж,"ДОСТАВКА, ООО",Воронежская область,"Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями",Малые предприятия,2015,46.17,46.0,logistika,92.0,869669.0,803526.0,3574302.0,4119583.0,4119583.0,2326890.0,1854148.0,2265436.0,834475.0,646873.0,106862.0,60316.0,59219.0,54348.0,18722.0,0.0,0.0
Дэшборд Системс (Dashboard Systems),Москва,"ДЭШБОРД СИСТЕМС, АО",Москва,Научные исследования и разработки в области естественных и технических наук прочие,Малые предприятия,2013,72.19,72.0,informacionnye_tehnologii,42.0,174282.0,130082.0,17216.0,137314.0,137314.0,11266.0,61771.0,75542.0,104438.0,32894.0,17472.0,26683.0,26551.0,29610.0,69266.0,-0.0,0.0
"ЕПК, Группа компаний (УК ЕПК)",Москва,"ЕПК, АО",Москва,Вложения в ценные бумаги и деятельность дилерская,Средние предприятия,2018,64.99.1,64.0,mashinostroenie,4.0,1777957.0,627023.0,5181343.0,12751979.0,12751979.0,5332378.0,12721057.0,30922.0,1187132.0,8.0,,1150934.0,1140122.0,1122487.0,7413.0,-1.0,1.0
ЕРСМ Сибири,Красноярск,"ЕРСМ СИБИРИ, ООО",Красноярский край,"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",Средние предприятия,2015,71.1,71.0,stroitelstvo,117.0,962837.0,969518.0,756091.0,3093643.0,3093643.0,-228080.0,72646.0,3020997.0,758272.0,653600.0,190.0,-519.0,-10170.0,15334.0,106748.0,0.0,0.0
"ЕСМ, Москва",Москва,"ЕСМ, ООО",Москва,"Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах",Малые предприятия,2017,47.74,47.0,torgovlya,15.0,257284.0,254772.0,16555.0,35874.0,35874.0,12980.0,13476.0,22399.0,256739.0,211529.0,41730.0,2513.0,1630.0,2573.0,15339.0,0.0,0.0
Европа Плюс,Москва,"ЕВРОПА ПЛЮС, ЗАО",Москва,Деятельность в области радиовещания,Малые предприятия,2018,60.1,60.0,smi,32.0,403244.0,344463.0,172522.0,267329.0,267329.0,133277.0,213297.0,54032.0,391395.0,241791.0,46328.0,58781.0,43908.0,58372.0,74787.0,0.0,0.0
Есолюшнс,Москва,"ЕСОЛЮШНС, ООО",Москва,Деятельность по упаковыванию товаров,Малые предприятия,2013,82.92,82.0,torgovlya,35.0,604721.0,593670.0,109122.0,213674.0,213674.0,42431.0,54854.0,158819.0,470394.0,375822.0,2926.0,-12617.0,-15363.0,-14808.0,61378.0,-0.0,-0.0
ЖелДорЭкспедиция,Москва,"ЖЕЛДОРЭКСПЕДИЦИЯ, ООО",Москва,Деятельность железнодорожного транспорта: грузовые перевозки,Малые предприятия,2018,49.2,49.0,transport,5.0,277544.0,392317.0,44984.0,246077.0,246077.0,-303531.0,-212041.0,458118.0,225479.0,226603.0,,-114773.0,-90906.0,-112702.0,2670.0,-0.0,-0.0
Жилстройинвест,Уфа,"ЖИЛСТРОЙИНВЕСТ, ООО",Башкортостан (Республика),Производство электромонтажных работ,Малые предприятия,2019,43.21,43.0,stroitelstvo,32.0,122226.0,117544.0,27127.0,42801.0,42801.0,14447.0,9224.0,33577.0,121219.0,113080.0,,4682.0,3694.0,905.0,,0.0,0.0
ЗСД (Западный скоростной диаметр),Санкт-Петербург,"ЗСД, АО",Санкт-Петербург,Аренда и управление собственным или арендованным недвижимым имуществом,Средние предприятия,2013,68.2,68.0,transport,78.0,890437.0,5466527.0,1996062.0,188574422.0,188574422.0,-3514387.0,118622481.0,72290951.0,395904.0,475082.0,,-2586433.0,-2263877.0,-1116210.0,148884.0,-12.0,-3.0
ЗабТЭК,Чита,"ЗАБТЭК, АО",Забайкальский край,"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",Средние предприятия,2018,35.3,35.0,zhkh,,3075599.0,3123095.0,465797.0,717089.0,717089.0,-287308.0,-391996.0,1109086.0,1836655.0,2703408.0,249482.0,-47496.0,-60915.0,-38071.0,1170394.0,-0.0,-1.0
Зенит Лизинг,Москва,"ЗЕНИТ ЛИЗИНГ, ООО",Москва,Деятельность по финансовой аренде (лизингу/сублизингу),Малые предприятия,2018,64.91,64.0,finansovye_uslugi,7.0,1021222.0,973929.0,1440650.0,3681037.0,3681037.0,1346461.0,140549.0,3540488.0,643409.0,425393.0,,47292.0,37688.0,141206.0,23946.0,0.0,0.0
Золотой Телец,Барнаул,"ЗОЛОТОЙ ТЕЛЕЦ, ООО",Алтайский край,Торговля розничная ювелирными изделиями в специализированных магазинах,Малые предприятия,2017,47.77.2,47.0,yuvelirnaya_promyshlennost,77.0,284612.0,274204.0,14563.0,318308.0,318308.0,229361.0,251278.0,67053.0,277528.0,158347.0,104927.0,10408.0,9548.0,12343.0,33875.0,0.0,0.0
Зооопт,Пермь,"ЗОООПТ, ООО",Пермский край,Производство прочих керамических изделий,Малые предприятия,2017,23.49,23.0,torgovlya,38.0,150892.0,150074.0,24110.0,69647.0,69647.0,41679.0,-6752.0,76399.0,147119.0,100081.0,42307.0,818.0,593.0,2952.0,13937.0,0.0,0.0
Зульцер Пампс Рус,Москва,ЗУЛЬЦЕР ПАМПС РУС,Москва,Торговля оптовая прочими машинами и оборудованием,Малые предприятия,2015,46.69,46.0,mashinostroenie,46.0,1600194.0,1448506.0,422996.0,963275.0,963275.0,350373.0,467252.0,496023.0,1561000.0,1184161.0,88348.0,176961.0,153379.0,174000.0,156281.0,0.0,0.0
ИНВИТРО-Информационные технологии,Москва,"ИНВИТРО-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ, ООО",Москва,"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",Средние предприятия,2013,62,62.0,informacionnye_tehnologii,199.0,726172.0,789074.0,129365.0,635021.0,635021.0,26518.0,-39890.0,682393.0,535236.0,523271.0,36.0,-29546.0,-32069.0,-21661.0,261189.0,-0.0,-0.0
ИТФ (Italfarmaco),Москва,"ИТФ, ООО",Москва,Торговля оптовая фармацевтической продукцией,Средние предприятия,2015,46.46,46.0,farmacevtika,103.0,1108113.0,1093101.0,556261.0,897157.0,897157.0,175393.0,61339.0,835901.0,1025056.0,689253.0,319140.0,16686.0,9873.0,23040.0,154388.0,0.0,0.0
ИЦ Телеком-Сервис,Москва,"ИЦ ТЕЛЕКОМ-СЕРВИС, ООО",Москва,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Малые предприятия,2017,62.09,62.0,informacionnye_tehnologii,69.0,548402.0,538312.0,172896.0,291623.0,291623.0,18037.0,19412.0,272211.0,541119.0,444026.0,13.0,10090.0,5207.0,9125.0,135456.0,0.0,0.0
Ивапер (Ivaper),Санкт-Петербург,"ИВАПЕР, ООО",Санкт-Петербург,"Производство пластмассовых плит, полос, труб и профилей",Средние предприятия,2017,22.21,22.0,himicheskaya_promyshlennost,90.0,1386687.0,1275022.0,185510.0,1156940.0,1156940.0,544829.0,723653.0,433288.0,1313679.0,1057063.0,49194.0,114046.0,90683.0,115129.0,74760.0,0.0,0.0
Икорный,Москва,"ИКОРНЫЙ, ООО",Москва,"Торговля оптовая прочими пищевыми продуктами, включая рыбу, ракообразных и моллюсков",Средние предприятия,2019,46.38,46.0,torgovlya,44.0,863630.0,834616.0,97474.0,293618.0,293618.0,112335.0,50233.0,243384.0,861011.0,685674.0,74436.0,29014.0,23325.0,34316.0,75278.0,0.0,0.0
Ильинское 95,Московская область,"ИЛЬИНСКОЕ 95, ООО ПК",Московская область,"Производство сливочного масла, топленого масла, масляной пасты, молочного жира, спредов и топленых сливочно-растительных смесей",Средние предприятия,2015,10.51.2,10.0,pishhevaya_promyshlennost,146.0,1217888.0,1190165.0,160240.0,447245.0,447245.0,127867.0,93728.0,353516.0,1123304.0,967831.0,,24478.0,19339.0,31636.0,129728.0,0.0,0.0
Импортсервис,Пермь,"ИМПОРТСЕРВИС, ООО",Пермский край,Торговля оптовая непродовольственными потребительскими товарами,Средние предприятия,2017,46.4,46.0,torgovlya,29.0,961224.0,849763.0,257765.0,679071.0,679071.0,222251.0,228224.0,450847.0,903754.0,549799.0,209859.0,111460.0,88010.0,113530.0,24455.0,0.0,0.0
ИнСетКом,Екатеринбург,"ИНСЕТКОМ, ООО",Свердловская область,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",Средние предприятия,2017,43.22,43.0,energetika,198.0,1177874.0,1103506.0,978268.0,1986047.0,1986047.0,133759.0,168766.0,1817281.0,968213.0,806750.0,,74368.0,58589.0,88850.0,166665.0,0.0,0.0
Инвар,Москва,"ИНВАР, ООО",Москва,Торговля оптовая фармацевтической продукцией,Средние предприятия,2013,46.46,46.0,farmacevtika,97.0,1499221.0,1395581.0,560924.0,1363611.0,1363611.0,649864.0,634612.0,728998.0,1742533.0,814460.0,681140.0,147768.0,103609.0,160806.0,230773.0,0.0,0.0
