Компания,Город,name,region.y,industry,size_cat,year,code_okved,firts_number_okved,ind,employees,income,expenses,receivables,assets,passive,nwc,equity,total_debt,sales,cgs,commercial,ebt,eat,ebit,labor_costs,net_profit_margin,ros
Автошинторг (Автошина38),Иркутск,"АВТОШИНТОРГ, ООО",Иркутская область,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов",Средние предприятия,2017,45.31.1,45.0,transport,25.0,752563.0,728113.0,36266.0,196399.0,196399.0,93143.0,96299.0,100100.0,743819.0,691693.0,28151.0,24450.0,19478.0,26292.0,3517.0,0.0,0.0
Агентство 2,Санкт-Петербург,"АГЕНТСТВО 2, ООО",Санкт-Петербург,Деятельность рекламных агентств,Малые предприятия,2014,73.11,73.0,reklama,62.0,365778.0,356369.0,343968.0,428939.0,428939.0,53970.0,19912.0,409671.0,521898.0,382946.0,,13668.0,9711.0,17768.0,49607.0,0.0,0.0
Агентство Авиа Центр,Москва,"АГЕНТСТВО АВИА ЦЕНТР, ООО",Москва,Деятельность туристических агентств и туроператоров,Малые предприятия,2013,79.1,79.0,logistika,27.0,191186.0,179099.0,128212.0,148086.0,148086.0,20785.0,13565.0,134521.0,143300.0,60695.0,88161.0,11354.0,9375.0,13087.0,35037.0,0.0,-0.0
Агриматко,Краснодар,"АГРИМАТКО, АО",Краснодарский край,"Торговля оптовая сельскохозяйственными и лесохозяйственными машинами, оборудованием и инструментами, включая тракторы",Средние предприятия,2018,46.61.1,46.0,selskoe_hozyaystvo,83.0,1542896.0,1320618.0,116668.0,720040.0,720040.0,-476760.0,-271918.0,991958.0,878132.0,660167.0,176038.0,222278.0,232056.0,219522.0,94758.0,0.0,0.0
Агро-Пак,Батайск,"АГРО-ПАК, ООО",Ростовская область,Торговля оптовая неспециализированная,Малые предприятия,2016,46.9,46.0,selskoe_hozyaystvo,42.0,614685.0,597040.0,70244.0,216872.0,216872.0,80602.0,17032.0,199840.0,544864.0,488996.0,37197.0,15835.0,12250.0,21825.0,,0.0,0.0
Агро-РСТ,Новосибирск,"АГРО-РСТ, ООО",Новосибирская область,Производство мясных (мясосодержащих) полуфабрикатов,Малые предприятия,2016,10.13.4,10.0,pishhevaya_promyshlennost,43.0,266375.0,262754.0,34396.0,59132.0,59132.0,20825.0,10187.0,48945.0,238322.0,195968.0,25056.0,3466.0,2916.0,5157.0,16891.0,0.0,0.0
АгроГард,Москва,"АГРОГАРД, АО",Москва,Консультирование по вопросам коммерческой деятельности и управления,Средние предприятия,2013,70.22,70.0,selskoe_hozyaystvo,66.0,1023348.0,986204.0,69701.0,316571.0,316571.0,15424.0,26648.0,289923.0,582304.0,569198.0,,28229.0,21874.0,25581.0,505681.0,0.0,-0.0
Агроснаб Плюс,Омск,"АГРОСНАБ ПЛЮС, ООО",Омская область,Производство мясных (мясосодержащих) полуфабрикатов,Малые предприятия,2017,10.13.4,10.0,torgovlya,28.0,180723.0,177704.0,13520.0,28362.0,28362.0,18436.0,15472.0,12890.0,178973.0,162864.0,5821.0,3018.0,2325.0,2934.0,,0.0,0.0
Агрофабрика Натурово,Калининград,"АГРОФАБРИКА НАТУРОВО, ООО",Калининградская область,Торговля оптовая фруктами и овощами,Средние предприятия,2017,46.31,46.0,pishhevaya_promyshlennost,56.0,950002.0,932307.0,177798.0,355866.0,355866.0,142915.0,66610.0,289256.0,929772.0,894759.0,,17711.0,12970.0,17429.0,59724.0,0.0,0.0
Агрофирма Аэлита,Москва,"АГРОФИРМА АЭЛИТА, ООО",Москва,"Торговля оптовая семенами, кроме семян масличных культур",Малые предприятия,2016,46.21.12,46.0,selskoe_hozyaystvo,54.0,735854.0,625484.0,294740.0,682696.0,682696.0,533912.0,626091.0,56604.0,677958.0,399912.0,96394.0,112747.0,92803.0,102306.0,,0.0,0.0
Агроцентр-Юг,Краснодар,"АГРОЦЕНТР-ЮГ, ООО СП",Краснодарский край,"Торговля оптовая машинами, оборудованием и инструментами для сельского хозяйства",Малые предприятия,2013,46.61,46.0,transport,28.0,168478.0,167732.0,19120.0,75486.0,75486.0,9860.0,5986.0,69500.0,146183.0,130312.0,18366.0,1089.0,1072.0,3404.0,4344.0,0.0,0.0
Админора,Москва,"АДМИНОРА, АО",Москва,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Средние предприятия,2015,46.51,46.0,informacionnye_tehnologii,12.0,915394.0,816546.0,425369.0,818738.0,818738.0,267161.0,448430.0,370308.0,1217972.0,1029838.0,9164.0,126765.0,98553.0,120982.0,16079.0,0.0,0.0
АйТи,Москва,"АЙТИ, АО",Москва,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Малые предприятия,2013,62.09,62.0,informacionnye_tehnologii,94.0,1705347.0,1681921.0,985701.0,3838308.0,3838308.0,1824908.0,620933.0,3217955.0,1927665.0,1627489.0,18213.0,63638.0,40830.0,244114.0,136312.0,0.0,0.0
Айсиси (Индастриал энд сивил констракшн),Москва,"АЙСИСИ, ООО",Москва,Строительство жилых и нежилых зданий,Средние предприятия,2017,41.2,41.0,stroitelstvo,38.0,660386.0,619967.0,187166.0,296105.0,296105.0,8012.0,44236.0,251868.0,657869.0,585848.0,,40419.0,32078.0,37568.0,74958.0,0.0,0.0
Айстек (iStack),Ростов-на-Дону,"АЙСТЕК, ООО",Ростовская область,Деятельность консультативная и работы в области компьютерных технологий,Малые предприятия,2017,62.02,62.0,informacionnye_tehnologii,27.0,161922.0,149689.0,27826.0,52375.0,52375.0,12985.0,25121.0,27254.0,159966.0,108654.0,38866.0,12233.0,9804.0,12514.0,,0.0,0.0
Академия Здоровья,Нижний Новгород,"АКАДЕМИЯ ЗДОРОВЬЯ, ООО",Нижегородская область,Торговля оптовая фармацевтической продукцией,Малые предприятия,2019,46.46,46.0,farmacevtika,9.0,276818.0,244056.0,54710.0,145476.0,145476.0,87528.0,94208.0,54868.0,249710.0,190767.0,30301.0,32762.0,26976.0,33635.0,5850.0,0.0,0.0
Академпарк (Технопарк Новосибирского Академгородка),Новосибирск,"АКАДЕМПАРК, АО",Новосибирская область,Аренда и управление собственным или арендованным недвижимым имуществом,Малые предприятия,2013,68.2,68.0,konsalting,46.0,494044.0,477168.0,247991.0,4009741.0,4009741.0,-74786.0,3368149.0,669990.0,248153.0,283464.0,385.0,11865.0,4710.0,8708.0,61976.0,-0.0,-0.0
АкваЛайн,Вологда,"АКВАЛАЙН, ООО",Вологодская область,Сбор неопасных отходов,Средние предприятия,2017,38.11,38.0,zhkh,57.0,888456.0,951975.0,210323.0,495998.0,495998.0,-269549.0,-260898.0,756896.0,719783.0,776316.0,,-63519.0,-58415.0,-61157.0,37698.0,-0.0,-0.0
Акванова Рус (Aquanova Rus),Дубна,"АКВАНОВА РУС, АО",Московская область,"Производство прочих пищевых продуктов, не включенных в другие группировки",Малые предприятия,2017,10.89,10.0,pishhevaya_promyshlennost,26.0,450466.0,341937.0,147798.0,648299.0,648299.0,382162.0,621368.0,26931.0,401439.0,234722.0,5561.0,108529.0,99767.0,102311.0,51895.0,0.0,0.0
Аквион,Москва,"АКВИОН, АО",Москва,Производство биологически активных добавок к пище,Средние предприятия,2013,10.89.8,10.0,farmacevtika,61.0,887449.0,803772.0,335291.0,644407.0,644407.0,296156.0,302844.0,341563.0,636876.0,193183.0,283018.0,39158.0,27052.0,29870.0,112454.0,-0.0,-0.0
Аксесс-А.С.К.,Комсомольск-на-Амуре,"АКСЕСС-А.С.К., ООО",Хабаровский край,Деятельность по комплексному обслуживанию помещений,Средние предприятия,2013,81.1,81.0,stroitelstvo,173.0,771800.0,710013.0,145422.0,370891.0,370891.0,156337.0,194282.0,176614.0,671803.0,551640.0,10060.0,61125.0,48492.0,61990.0,163439.0,0.0,0.0
Акцент Капитал,Москва,"АКЦЕНТ КАПИТАЛ, ООО",Москва,Консультирование по вопросам коммерческой деятельности и управления,Малые предприятия,2017,70.22,70.0,finansovye_uslugi,50.0,196636.0,248510.0,23543.0,43776.0,43776.0,12279.0,-155262.0,199038.0,186574.0,30343.0,11323.0,-51874.0,-54135.0,-42551.0,135181.0,-0.0,-0.0
Алгоритм-Сервис (Архангельск),Архангельск,"АЛГОРИТМ-СЕРВИС, ООО",Архангельская область,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Малые предприятия,2016,45.11.2,45.0,torgovlya,42.0,459004.0,449162.0,26488.0,103304.0,103304.0,59912.0,27181.0,76124.0,424603.0,374372.0,4700.0,8096.0,6766.0,9922.0,19035.0,0.0,-0.0
Алкомир Заполярья,Норильск,"АЛКОМИР ЗАПОЛЯРЬЯ, ООО",Красноярский край,Торговля оптовая напитками,Средние предприятия,2017,46.34,46.0,torgovlya,72.0,1143290.0,1126114.0,202308.0,364048.0,364048.0,221476.0,139797.0,224251.0,1129545.0,1111928.0,,17177.0,13741.0,22842.0,,0.0,0.0
Аллигатор (Alligator Group),Краснодар,"АЛЛИГАТОР, ООО",Краснодарский край,Производство тканей из стекловолокна,Малые предприятия,2018,13.20.46,13.0,stroitelstvo,19.0,227134.0,217678.0,48244.0,98399.0,98399.0,47440.0,17735.0,80846.0,188946.0,142865.0,22508.0,9244.0,7325.0,10321.0,3898.0,0.0,0.0
Алтуфьево-Спорт,Москва,"АЛТУФЬЕВО-СПОРТ, ООО",Москва,Деятельность фитнес-центров,Малые предприятия,2017,93.13,93.0,industriya_razvlecheniy,47.0,287157.0,278690.0,62184.0,184582.0,184582.0,-66464.0,24312.0,163244.0,278260.0,7674.0,107.0,8467.0,6604.0,5148.0,28109.0,0.0,0.0
Альстом Транспорт Рус,Москва,"АЛЬСТОМ ТРАНСПОРТ РУС, ООО",Москва,Производство железнодорожных локомотивов и подвижного состава,Малые предприятия,2014,30.2,30.0,mashinostroenie,17.0,285083.0,208185.0,242913.0,689760.0,689760.0,465661.0,51948.0,641884.0,466036.0,401719.0,74253.0,-54576.0,-45583.0,-1417.0,143487.0,0.0,-0.0
Альфа-Дизель,Санкт-Петербург,"АЛЬФА-ДИЗЕЛЬ, ООО",Санкт-Петербург,Производство электроэнергии,Средние предприятия,2016,35.11,35.0,energetika,106.0,1180792.0,1146133.0,307979.0,530472.0,530472.0,-15196.0,58532.0,471940.0,1076374.0,849139.0,,30319.0,23486.0,34893.0,284573.0,0.0,0.0
Альфа-Интеграция,Москва,"КОМПАНИЯ АЛЬФА-ИНТЕГРАЦИЯ, АО",Москва,Производство электромонтажных работ,Малые предприятия,2015,43.21,43.0,zhkh,35.0,159832.0,158856.0,57011.0,114438.0,114438.0,12134.0,8653.0,105784.0,139498.0,121530.0,1173.0,1090.0,870.0,1202.0,22350.0,0.0,0.0
АльфаДженис (AGenYZ),Москва,"АЛЬФАДЖЕНИС, ООО",Москва,"Аренда интеллектуальной собственности и подобной продукции, кроме авторских прав",Малые предприятия,2019,77.4,77.0,reklama,8.0,109397.0,68008.0,14107.0,45364.0,45364.0,28974.0,36057.0,9308.0,106801.0,699.0,10240.0,41407.0,37171.0,40904.0,,0.0,0.0
Альфапаскаль,Челябинск,"АЛЬФАПАСКАЛЬ, ООО",Челябинская область,"Производство инструментов и приборов для измерения, тестирования и навигации",Малые предприятия,2017,26.51,26.0,mashinostroenie,40.0,174118.0,172779.0,24223.0,128990.0,128990.0,22607.0,36730.0,92260.0,170602.0,129362.0,3755.0,1339.0,-686.0,1339.0,,-0.0,0.0
Амер Спортс (Amer Sports),Москва,"АМЕР СПОРТС, АО",Москва,"Торговля оптовая спортивными товарами, включая велосипеды",Средние предприятия,2013,46.49.43,46.0,industriya_razvlecheniy,103.0,2994495.0,2584736.0,911286.0,1933137.0,1933137.0,686869.0,794950.0,1138187.0,2705727.0,1365892.0,1091048.0,218540.0,142195.0,212851.0,237869.0,0.0,0.0
Амос-1,Москва,"АМОС, ООО",Москва,Торговля оптовая прочими машинами и оборудованием,Малые предприятия,2019,46.69,46.0,stroitelstvo,10.0,132831.0,123875.0,11854.0,41957.0,41957.0,17411.0,11979.0,29978.0,128396.0,82930.0,34590.0,8956.0,7140.0,9964.0,,0.0,0.0
Амурский бизнес,Благовещенск,"АМУРСКИЙ БИЗНЕС, ООО",Амурская область,"Торговля оптовая соками, минеральной водой и прочими безалкогольными напитками",Средние предприятия,2016,46.34.1,46.0,torgovlya,141.0,1452191.0,1435621.0,119898.0,314993.0,314993.0,199852.0,54636.0,260357.0,1402808.0,1173552.0,219045.0,14837.0,9460.0,31454.0,46500.0,0.0,0.0
Аник Лаб,Москва,"АНИК ЛАБ, ООО",Москва,Научные исследования и разработки в области естественных и технических наук прочие,Малые предприятия,2019,72.19,72.0,obrazovanie,71.0,354569.0,249612.0,103740.0,319490.0,319490.0,33908.0,152386.0,167252.0,339912.0,168947.0,,104956.0,104964.0,21389.0,387465.0,0.0,0.0
Анком,Санкт-Петербург,"АНКОМ, ООО",Санкт-Петербург,Производство колбасных изделий,Средние предприятия,2013,10.13.2,10.0,pishhevaya_promyshlennost,65.0,1708784.0,1605879.0,192283.0,565824.0,565824.0,-138756.0,149188.0,416637.0,1440565.0,1323555.0,19964.0,66288.0,51919.0,66703.0,20081.0,0.0,0.0
Анкомп (Ancomp),Москва,"АНКОМП, ООО",Москва,Производство офисной техники и оборудования (кроме компьютеров и периферийного оборудования),Средние предприятия,2019,28.23,28.0,informacionnye_tehnologii,33.0,554795.0,532247.0,114163.0,221144.0,221144.0,70839.0,52153.0,168991.0,545307.0,517609.0,,22548.0,17304.0,12932.0,,0.0,0.0
Аояма Моторс,Москва,"АОЯМА МОТОРС, АО",Москва,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Средние предприятия,2013,45.11.2,45.0,torgovlya,137.0,1658191.0,1577212.0,113208.0,918115.0,918115.0,461625.0,224129.0,693986.0,2085774.0,1834416.0,100463.0,54684.0,49850.0,101171.0,223977.0,0.0,0.0
Аргос,Санкт-Петербург,"АРГОС, ООО",Санкт-Петербург,Торговля оптовая непродовольственными потребительскими товарами,Малые предприятия,2016,46.4,46.0,metallurgicheskaya_promyshlennost,99.0,755369.0,703771.0,201562.0,526954.0,526954.0,308277.0,317539.0,209415.0,714020.0,500188.0,172011.0,52366.0,45365.0,53049.0,76932.0,0.0,0.0
Арион Групп,Москва,"АРИОН ГРУПП, ООО",Москва,Торговля оптовая неспециализированная,Малые предприятия,2013,46.9,46.0,poligraficheskaya_deyatelnost,13.0,162535.0,157782.0,8458.0,53445.0,53445.0,35395.0,14027.0,39418.0,132693.0,102253.0,22815.0,4055.0,3194.0,6540.0,12454.0,0.0,0.0
"Арком, Санкт-Петербург",Санкт-Петербург,"АРКОМ, ООО",Санкт-Петербург,"Торговля оптовая изделиями, применяемыми в медицинских целях",Малые предприятия,2014,46.46.2,46.0,farmacevtika,77.0,631922.0,558130.0,27072.0,214461.0,214461.0,136943.0,133721.0,80873.0,568870.0,320021.0,172581.0,65326.0,26050.0,67256.0,79812.0,0.0,0.0
Арктика Медиа,Тюмень,"АРКТИКА МЕДИА, ООО",Тюменская область,Деятельность в области телевизионного вещания,Малые предприятия,2013,60.2,60.0,smi,91.0,219090.0,207270.0,19928.0,98453.0,98453.0,5706.0,15377.0,83080.0,195171.0,123780.0,826.0,9441.0,5796.0,8573.0,104503.0,0.0,0.0
Арлекин,Санкт-Петербург,"АРЛЕКИН, ООО",Санкт-Петербург,Торговля оптовая неспециализированная,Малые предприятия,2019,46.9,46.0,industriya_razvlecheniy,33.0,171279.0,133184.0,82462.0,94440.0,94440.0,82671.0,57941.0,36500.0,170831.0,130239.0,,38095.0,30248.0,4853.0,,0.0,0.0
Арсенал-Недвижимость,Санкт-Петербург,"АРСЕНАЛ НЕДВИЖИМОСТЬ, АО",Санкт-Петербург,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Средние предприятия,2013,68.20.2,68.0,stroitelstvo,19.0,1089390.0,781579.0,791947.0,2898487.0,2898487.0,487008.0,990366.0,1908121.0,754727.0,349099.0,,269674.0,213036.0,316109.0,40003.0,0.0,0.0
Арт-Холдинг,Кострома,"АРТ-ХОЛДИНГ, ООО",Костромская область,Строительство жилых и нежилых зданий,Средние предприятия,2017,41.2,41.0,stroitelstvo,44.0,668645.0,623068.0,102036.0,292203.0,292203.0,37350.0,57001.0,235202.0,659096.0,519198.0,,45577.0,33577.0,47661.0,42636.0,0.0,0.0
Аруна,Калининград,"АРУНА, ООО",Калининградская область,Производство изделий из пластмасс,Средние предприятия,2016,22.2,22.0,himicheskaya_promyshlennost,65.0,900061.0,133574.0,180145.0,330969.0,330969.0,206993.0,302196.0,28773.0,827641.0,107074.0,3988.0,701722.0,677364.0,701243.0,43788.0,1.0,1.0
Архыз 24,Черкесск,"АРХЫЗ-1650, ООО",Карачаево-Черкесская Республика,Деятельность гостиниц и прочих мест для временного проживания,Малые предприятия,2013,55.1,55.0,smi,79.0,175879.0,155840.0,45251.0,1274773.0,1274773.0,-14563.0,263290.0,1011483.0,332253.0,284687.0,,-49633.0,-54411.0,-23886.0,44253.0,-2.0,-1.0
